METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval percent decline

Percent decline  Probability     95% confidence interval
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0010          0.0000   0.0290
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0020          0.0000   0.0300
         0       0.0040          0.0000   0.0320
         0       0.0050          0.0000   0.0330
         0       0.0060          0.0000   0.0340
         0       0.0060          0.0000   0.0340
         0       0.0070          0.0000   0.0350
         0       0.0070          0.0000   0.0350
         0       0.0070          0.0000   0.0350
         0       0.0100          0.0000   0.0380
         0       0.0160          0.0000   0.0440
         0       0.0180          0.0000   0.0460
         0       0.0190          0.0000   0.0470
         0       0.0220          0.0000   0.0500
         0       0.0230          0.0000   0.0510
         0       0.0280          0.0000   0.0560
         0       0.0340          0.0060   0.0620
         0       0.0370          0.0090   0.0650
         0       0.0410          0.0130   0.0690
         0       0.0510          0.0230   0.0790
         0       0.0550          0.0270   0.0830
         0       0.0610          0.0330   0.0890
         0       0.0670          0.0390   0.0950
         0       0.0790          0.0510   0.1070
         0       0.0840          0.0560   0.1120
         0       0.1010          0.0730   0.1290
         0       0.1100          0.0820   0.1380
         0       0.1170          0.0890   0.1450
         0       0.1330          0.1050   0.1610
         0       0.1430          0.1150   0.1710
         0       0.1540          0.1260   0.1820
         0       0.1690          0.1410   0.1970
         0       0.1810          0.1530   0.2090
         0       0.1920          0.1640   0.2200
         0       0.2110          0.1830   0.2390
         0       0.2230          0.1950   0.2510
         0       0.2450          0.2170   0.2730
         0       0.2650          0.2370   0.2930
         0       0.2870          0.2590   0.3150
         0       0.3090          0.2810   0.3370
         0       0.3260          0.2980   0.3540
         0       0.3390          0.3110   0.3670
         0       0.3520          0.3240   0.3800
         0       0.3750          0.3470   0.4030
         0       0.4050          0.3770   0.4330
         0       0.4310          0.4030   0.4590
         0       0.4570          0.4290   0.4850
         0       0.4730          0.4450   0.5010
         0       0.4990          0.4710   0.5270
         0       0.5130          0.4850   0.5410
         0       0.5320          0.5040   0.5600
         0       0.5530          0.5250   0.5810
         0       0.5750          0.5470   0.6030
         0       0.5970          0.5690   0.6250
         0       0.6170          0.5890   0.6450
         0       0.6330          0.6050   0.6610
         0       0.6450          0.6170   0.6730
         0       0.6720          0.6440   0.7000
         0       0.6850          0.6570   0.7130
         0       0.6950          0.6670   0.7230
         0       0.7230          0.6950   0.7510
         0       0.7460          0.7180   0.7740
         0       0.7600          0.7320   0.7880
         0       0.7720          0.7440   0.8000
         0       0.7900          0.7620   0.8180
         0       0.8030          0.7750   0.8310
         0       0.8190          0.7910   0.8470
         0       0.8290          0.8010   0.8570
         0       0.8450          0.8170   0.8730
         0       0.8580          0.8300   0.8860
         0       0.8740          0.8460   0.9020
         0       0.8880          0.8600   0.9160
         0       0.8980          0.8700   0.9260
         0       0.9100          0.8820   0.9380
         0       0.9170          0.8890   0.9450
         0       0.9250          0.8970   0.9530
         0       0.9330          0.9050   0.9610
         0       0.9410          0.9130   0.9690
         0       0.9490          0.9210   0.9770
         0       0.9540          0.9260   0.9820
         0       0.9560          0.9280   0.9840
         0       0.9620          0.9340   0.9900
         0       0.9660          0.9380   0.9940
         0       0.9710          0.9430   0.9990
         0       0.9730          0.9450   1.0000
         0       0.9760          0.9480   1.0000
         0       0.9840          0.9560   1.0000
         0       0.9840          0.9560   1.0000
         0       0.9850          0.9570   1.0000
         0       0.9880          0.9600   1.0000
         0       0.9910          0.9630   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9930          0.9650   1.0000
         0       0.9960          0.9680   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       0.9990          0.9710   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
