METAPOPULATION MODEL results; Date=8/2/2023 Time=22:30:53
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal percent decline

Percent decline  Probability     95% confidence interval
        66       0.0010          0.0000   0.0290
        64       0.0010          0.0000   0.0290
        63       0.0010          0.0000   0.0290
        62       0.0010          0.0000   0.0290
        61       0.0020          0.0000   0.0300
        59       0.0030          0.0000   0.0310
        58       0.0030          0.0000   0.0310
        57       0.0030          0.0000   0.0310
        55       0.0030          0.0000   0.0310
        54       0.0030          0.0000   0.0310
        53       0.0030          0.0000   0.0310
        51       0.0030          0.0000   0.0310
        50       0.0030          0.0000   0.0310
        49       0.0030          0.0000   0.0310
        47       0.0030          0.0000   0.0310
        46       0.0040          0.0000   0.0320
        45       0.0040          0.0000   0.0320
        43       0.0040          0.0000   0.0320
        42       0.0040          0.0000   0.0320
        41       0.0050          0.0000   0.0330
        39       0.0060          0.0000   0.0340
        38       0.0070          0.0000   0.0350
        37       0.0070          0.0000   0.0350
        36       0.0070          0.0000   0.0350
        34       0.0090          0.0000   0.0370
        33       0.0100          0.0000   0.0380
        32       0.0110          0.0000   0.0390
        30       0.0130          0.0000   0.0410
        29       0.0170          0.0000   0.0450
        28       0.0220          0.0000   0.0500
        26       0.0280          0.0000   0.0560
        25       0.0300          0.0020   0.0580
        24       0.0330          0.0050   0.0610
        22       0.0460          0.0180   0.0740
        21       0.0510          0.0230   0.0790
        20       0.0620          0.0340   0.0900
        18       0.0680          0.0400   0.0960
        17       0.0780          0.0500   0.1060
        16       0.0910          0.0630   0.1190
        14       0.1040          0.0760   0.1320
        13       0.1180          0.0900   0.1460
        12       0.1330          0.1050   0.1610
        11       0.1430          0.1150   0.1710
         9       0.1550          0.1270   0.1830
         8       0.1740          0.1460   0.2020
         7       0.1990          0.1710   0.2270
         5       0.2160          0.1880   0.2440
         4       0.2420          0.2140   0.2700
         3       0.2710          0.2430   0.2990
         1       0.2920          0.2640   0.3200
         0       0.3180          0.2900   0.3460
         0       0.3420          0.3140   0.3700
         0       0.3670          0.3390   0.3950
         0       0.3980          0.3700   0.4260
         0       0.4250          0.3970   0.4530
         0       0.4510          0.4230   0.4790
         0       0.4790          0.4510   0.5070
         0       0.4960          0.4680   0.5240
         0       0.5100          0.4820   0.5380
         0       0.5350          0.5070   0.5630
         0       0.5620          0.5340   0.5900
         0       0.5930          0.5650   0.6210
         0       0.6190          0.5910   0.6470
         0       0.6350          0.6070   0.6630
         0       0.6570          0.6290   0.6850
         0       0.6780          0.6500   0.7060
         0       0.7080          0.6800   0.7360
         0       0.7320          0.7040   0.7600
         0       0.7560          0.7280   0.7840
         0       0.7790          0.7510   0.8070
         0       0.8030          0.7750   0.8310
         0       0.8250          0.7970   0.8530
         0       0.8450          0.8170   0.8730
         0       0.8520          0.8240   0.8800
         0       0.8630          0.8350   0.8910
         0       0.8720          0.8440   0.9000
         0       0.8850          0.8570   0.9130
         0       0.8950          0.8670   0.9230
         0       0.9010          0.8730   0.9290
         0       0.9110          0.8830   0.9390
         0       0.9170          0.8890   0.9450
         0       0.9290          0.9010   0.9570
         0       0.9370          0.9090   0.9650
         0       0.9470          0.9190   0.9750
         0       0.9530          0.9250   0.9810
         0       0.9580          0.9300   0.9860
         0       0.9650          0.9370   0.9930
         0       0.9660          0.9380   0.9940
         0       0.9700          0.9420   0.9980
         0       0.9740          0.9460   1.0000
         0       0.9800          0.9520   1.0000
         0       0.9830          0.9550   1.0000
         0       0.9860          0.9580   1.0000
         0       0.9870          0.9590   1.0000
         0       0.9890          0.9610   1.0000
         0       0.9900          0.9620   1.0000
         0       0.9920          0.9640   1.0000
         0       0.9950          0.9670   1.0000
         0       0.9970          0.9690   1.0000
         0       0.9970          0.9690   1.0000
         0       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
